#{"t_start": 1776330008.736752, "env_id": "None"}
r,l,t
-4775.729961,100,1619.923579
-3399.389969,100,1620.216228
-4923.769955,100,1620.510904
-4077.969959,100,1620.811802
-3443.959949,100,1621.107105
-3530.869961,100,1621.408132
-4042.129963,100,1621.706213
-3527.919956,100,1626.392759
-3334.809971,100,1626.542786
-4200.519978,100,1626.677852
-2952.83997,100,1626.823931
-2334.749958,100,1626.971354
-5792.059971,100,1627.122452
-3919.299965,100,1627.263973
-3332.259953,100,1627.412035
-4397.199963,100,1627.555939
-5268.919968,100,1627.69206
-4079.239967,100,1627.821683
-3026.439968,100,1627.968753
-2436.959961,100,1628.111256
-3338.75996,100,1628.25078
-3588.729958,100,1628.399731
-3805.939957,100,1628.538204
-3720.779961,100,1628.67756
-3357.39996,100,1628.817865
-2604.999973,100,1628.95973
-5576.389965,100,1629.095725
-5539.199963,100,1629.232631
-3816.109962,100,1633.699202
-5627.849964,100,1633.872619
-3439.469959,100,1634.364701
-3679.069954,100,1634.922295
-3729.869972,100,1635.252433
-3510.569962,100,1635.55829
-3317.679951,100,1635.857599
-3637.349953,100,1636.421133
-2396.429958,100,1636.596349
-3242.339954,100,1636.747427
-4250.839958,100,1636.89801
-6719.389965,100,1637.201543
-3261.68996,100,1637.355345
-4274.639969,100,1637.499913
-3414.789963,100,1637.648857
-2949.639969,100,1637.813726
-4971.319962,100,1637.966915
-3883.529957,100,1638.478292
-3871.989967,100,1638.781838
-5139.049965,100,1639.073998
-3308.869961,100,1645.311522
-4143.999966,100,1645.591617
-4131.429966,100,1645.871778
-3160.849964,100,1646.182006
-5051.389957,100,1646.465557
-3595.639969,100,1646.751816
-3829.409958,100,1647.053097
-4483.959957,100,1647.357005
-3396.459965,100,1647.663249
-3954.499969,100,1647.962743
-4109.579956,100,1648.261085
-3748.28997,100,1648.555458
-3744.699959,100,1648.842366
-4775.199963,100,1649.138049
-3906.47995,100,1649.431339
-5242.269974,100,1649.713994
-4160.269966,100,1649.993436
-2898.499958,100,1650.281504
-4251.489967,100,1650.561666
-2570.689953,100,1650.847412
-3209.159966,100,1651.12794
-4007.909962,100,1657.515755
-3132.26997,100,1657.797454
-1910.09996,100,1658.076301
-5271.569965,100,1658.364183
-3021.949955,100,1658.645989
-1959.709957,100,1658.926383
-2737.689957,100,1659.208359
-4212.649963,100,1659.496591
-4668.50996,100,1659.775427
-3047.619961,100,1660.057258
-4326.679955,100,1662.453278
-4222.049953,100,1662.734263
-2589.53997,100,1663.156348
-4032.75996,100,1663.479977
-3219.339958,100,1663.773877
-3278.73996,100,1664.076309
-4364.029964,100,1664.411122
-1884.609959,100,1664.702587
-3869.679962,100,1665.005569
-5566.219959,100,1665.298891
-4907.419956,100,1669.41001
-2196.909962,100,1669.535641
-2573.999958,100,1669.664941
-5235.559963,100,1669.800905
-3133.079964,100,1669.942938
-3227.92997,100,1670.098774
-4519.73996,100,1670.242216
-847.879971,100,1670.377112
-4830.299965,100,1670.514127
-2633.429955,100,1670.651147
-2398.059963,100,1670.790471
-2131.90995,100,1670.969366
-3911.50996,100,1671.263711
-4819.179966,100,1671.550731
-4548.879967,100,1671.835609
-3326.759968,100,1672.116765
-3387.309959,100,1672.398206
-5373.969971,100,1672.678735
-3222.069962,100,1672.967516
-2215.379955,100,1673.264687
-4540.409962,100,1673.55948
-3753.56995,100,1679.265517
-5103.439968,100,1679.405753
-4977.809967,100,1679.54118
-3367.509964,100,1679.67907
-2887.68996,100,1679.818499
-3591.799961,100,1680.411911
-5057.519958,100,1680.736112
-3116.25996,100,1681.257067
-3407.009956,100,1681.664918
-3827.729958,100,1681.967123
-4449.529961,100,1682.264622
-1890.309967,100,1682.573186
-4534.009972,100,1682.893752
-4196.139965,100,1683.203519
-3725.709946,100,1683.505723
-4391.549969,100,1683.795141
-3039.959972,100,1684.081095
-3998.129951,100,1684.361173
-2968.209965,100,1684.64176
-1446.939964,100,1684.922825
-1267.239964,100,1687.699703
-3058.899963,100,1687.848941
-3707.929962,100,1688.025685
-4119.939968,100,1688.234492
-2978.829964,100,1688.4853
-3327.119965,100,1688.741571
-3957.32996,100,1688.995351
-2656.199959,100,1689.249571
-3683.169964,100,1689.502446
-3398.539967,100,1689.748878
-4008.209961,100,1689.983747
-4197.709976,100,1690.158503
-2428.269958,100,1690.331177
-2627.729958,100,1690.50411
-4899.139961,100,1690.676092
-4133.819965,100,1690.9635
-2841.009956,100,1691.276932
-4169.749962,100,1691.571863
-1967.129951,100,1691.872804
-4538.199966,100,1692.161711
-3253.279961,100,1692.443858
-2334.749969,100,1696.481077
-5429.919968,100,1696.613102
-2915.699966,100,1696.772504
-3220.089962,100,1696.915848
-3685.90995,100,1697.067865
-2757.619961,100,1697.207599
-4032.869957,100,1697.39536
-6331.939953,100,1697.545655
-3010.399956,100,1697.692467
-4102.289963,100,1697.833447
-5074.32996,100,1698.093588
-5122.919956,100,1698.255346
-4914.179977,100,1698.46973
-3684.399979,100,1698.643428
-3512.649956,100,1698.819397
-3651.649967,100,1699.073132
-2871.929966,100,1699.365779
-3350.079964,100,1699.605332
-2687.929962,100,1699.739197
-3686.709961,100,1699.884563
-2842.459946,100,1702.558728
-2463.009964,100,1702.756129
-3149.159962,100,1702.956098
-3301.599964,100,1703.124651
-2750.449951,100,1703.267216
-3863.359962,100,1703.424384
-4775.129944,100,1703.576719
-4360.869965,100,1703.730679
-3937.229969,100,1705.879215
-4076.309967,100,1706.034094
-2035.269958,100,1706.197706
-2726.679958,100,1706.382052
-3408.91996,100,1706.52673
-3593.159966,100,1706.745312
-3421.79995,100,1706.959487
-4140.329967,100,1707.175417
-4003.329956,100,1707.402207
-4138.999962,100,1707.649847
-3130.809967,100,1707.796178
-4077.329967,100,1707.956235
-4621.999954,100,1712.188557
-5008.289959,100,1712.446813
-3191.819958,100,1712.658627
-3746.379963,100,1712.848051
-2324.079967,100,1713.051343
-2623.259956,100,1713.22498
-4146.32996,100,1713.399527
-4024.879967,100,1713.56273
-3558.969963,100,1713.708266
-2052.079952,100,1713.869634
-2279.959972,100,1714.023237
-4653.299961,100,1714.178943
-4409.029953,100,1714.344718
-5291.169964,100,1714.496532
-2418.449955,100,1714.64173
-2562.999958,100,1714.789836
-3865.299973,100,1714.946889
-4555.94997,100,1715.087523
-4098.359974,100,1715.222711
-4349.33997,100,1715.365999
-2327.259953,100,1715.506121
-2216.339954,100,1719.630227
-4682.669956,100,1719.858302
-3581.019958,100,1720.710753
-3309.239956,100,1721.537008
-5168.849976,100,1721.712797
-2745.879955,100,1721.875929
-4841.339966,100,1722.241178
-3403.059959,100,1722.738719
-2547.199955,100,1723.10268
-4348.209961,100,1723.432157
-4230.929955,100,1723.743516
-4206.629967,100,1724.149664
-3846.299969,100,1724.331727
-3101.219959,100,1724.505536
-3613.029968,100,1724.758796
-4159.729969,100,1724.954389
-3342.559959,100,1725.177082
-2568.309956,100,1725.353434
-3085.42997,100,1725.509437
-3874.699966,100,1725.678455
-3476.759949,100,1728.337376
-2382.219959,100,1728.478598
-2603.029953,100,1728.611117
-3385.439949,100,1728.755593
-3599.729965,100,1728.891222
-4198.919964,100,1729.022363
-3887.859959,100,1729.157146
-4405.579964,100,1729.291275
-3733.189968,100,1729.413858
-2571.879967,100,1729.54807
-2191.179962,100,1729.669699
-2509.89996,100,1729.800846
-4366.10997,100,1729.935413
-3995.479961,100,1730.073927
-4267.319977,100,1730.201985
-3497.529957,100,1730.338803
-4521.569962,100,1730.471614
-3005.199963,100,1730.60918
-2963.429962,100,1730.748555
-3409.489967,100,1730.883779
-2623.789951,100,1731.02833
-4138.299961,100,1734.013808
-3136.149956,100,1734.155977
-2859.039951,100,1734.286609
-4883.319962,100,1734.423449
-4509.599968,100,1734.553397
-3234.509968,100,1734.696536
-4104.219963,100,1734.842813
-2573.979958,100,1734.978898
-3171.289963,100,1735.130765
-3455.479965,100,1735.260639
-3650.619968,100,1735.393924
-3483.329952,100,1735.521522
-3335.489967,100,1735.664066
-4456.619968,100,1735.797766
-3577.219952,100,1735.946608
-3105.539963,100,1736.096521
-4212.439968,100,1736.23812
-3852.729958,100,1736.405107
-3209.94997,100,1736.590943
-4690.35997,100,1736.791603
-1804.529953,100,1739.850343
-3531.699959,100,1739.982621
-3788.299961,100,1740.107995
-4826.629971,100,1740.243399
-3383.509949,100,1740.374123
-3262.489964,100,1740.505752
-4006.479965,100,1742.547046
-2757.299961,100,1742.694568
-5064.149963,100,1742.841656
-5652.529957,100,1743.022254
-4053.149948,100,1743.21122
-4075.469967,100,1743.375699
-3343.899956,100,1743.524405
-5988.59996,100,1743.686837
-3866.159966,100,1743.842114
-3555.869961,100,1744.028861
-4547.929962,100,1744.185943
-4672.909973,100,1744.334549
-2891.72995,100,1744.473809
-3018.949947,100,1744.615533
-3675.339954,100,1744.777241
-3753.029953,100,1748.065907
-2726.889961,100,1748.24676
-4296.619957,100,1748.427448
-4325.619961,100,1748.617822
-4459.019966,100,1748.764977
-3099.819965,100,1748.920627
-5462.559986,100,1749.069496
